,track_name,track_id,by,feature,album_id,album_name,album_image,release_date,album_popularity,duration,playlist
306,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,DJ Snake,['Justin Bieber'],02sEJTj1sye1JaqxqpcSCp,Encore,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc,2016-08-05,81,205,2016
307,Infinite,01xhMrdCefADl7HSttJaf7,Eminem,,0FQ1ab1KzaOpZWZBFNNpzP,Infinite,https://i.scdn.co/image/ab67616d0000b273e64677fa775648c4bcf964fa,1996-11-12,56,251,2016
308,HERO,6gorwqDJ7bsdCHcVs5uS9u,Monsta X,,0ESTAnvX2zjMBxzesNAiR7,RUSH,https://i.scdn.co/image/ab67616d0000b2730ccb139549d30d4ed9e70dde,2015-09-07,62,231,2016
309,Haru Haru,3d3RUv7bMGWEHw5Rr6TBjL,BIGBANG,,49cfNmV24xZ9IBlZ6QFLzT,Stand Up,https://i.scdn.co/image/ab67616d0000b273f42cae27b199e3c2d49d39c2,2008-08-08,0,256,2016
310,Dead Inside,2daZovie6pc2ZK7StayD1K,Muse,,2wart5Qjnvx1fd7LPdQxgJ,Drones,https://i.scdn.co/image/ab67616d0000b273808846f0223d97d5963c420d,2015-06-04,59,262,2016
311,Famous Last Words,2d6m2F4I7wCuAKtSsdhh83,My Chemical Romance,,0FZK97MXMm5mUQ8mtudjuK,The Black Parade,https://i.scdn.co/image/ab67616d0000b27317f77fab7e8f18d5f9fee4a1,2006-10-23,71,299,2016
312,House of Memories,2DgdHcjWmO3qd50RzuBLgZ,Panic! At The Disco,,6twKQ0EsUJHVlAr6XBylrj,Death of a Bachelor,https://i.scdn.co/image/ab67616d0000b27323152d9337d6c57b116ed13a,2016-01-15,70,208,2016
313,Cold Water,7zsXy7vlHdItvUSH8EwQss,Major Lazer,"['Justin Bieber', 'MØ']",3Kmo85mapQ2wTaCAHBkKsK,Cold Water,https://i.scdn.co/image/ab67616d0000b2733d2ab503fa064e2050a7d115,2016-07-22,69,185,2016
314,Devil,2jkZgKoNK8dKxs7FGb9c42,SUPER JUNIOR,,3tLpEVOpXkRifL3nIziMN6,DEVIL - SUPER JUNIOR SPECIAL ALBUM,https://i.scdn.co/image/ab67616d0000b2734062ed80116a2f0e22ecc4c1,2015-07-16,0,216,2016
315,Starboy,2IY7eOUDjw2ArKYxKa2jXc,The Weeknd,['Daft Punk'],0X96HlegVXzQfJVIBWCRp6,Starboy,https://i.scdn.co/image/ab67616d0000b2730b30436953c521c87eb82c75,2016-09-22,0,230,2016
316,Side To Side,1pKeFVVUOPjFsOABub0OaV,Ariana Grande,['Nicki Minaj'],3OZgEywV4krCZ814pTJWr7,Dangerous Woman,https://i.scdn.co/image/ab67616d0000b2735f9393fda71e7df39b34defd,2016-05-20,79,226,2016
